symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc
CARD14	0.8399430683695354	0.7070659342382967	No data	0.8907802957709673	0.9190679877429972	0.7599134970145264	0.607930797611621	0.9549947196932794	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7632336730455366	0.08900706950439213	0.6099377216997834
IL36RN	0.8174117361409682	0.5383386733113917	No data	0.9213106117925791	0.9190679877429972	0.006079307976116211	0.607930797611621	0.865457038266544	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.456455307697386	0.26473540144884855	0.44833376496863026
IL12B	0.7720946503450559	0.8896267506157757	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.9722472509375855	No data	No data	No data	No data	No data	No data	0.401985690271989	0.35130576934316143	No data
TYK2	0.7260503396016115	0.9133761400444512	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9537051350495958	No data	No data	No data	No data	No data	No data	0.5511828298330879	No data	No data
TRAF3IP2	0.7125399540231383	0.9502528363787286	No data	0.5609089357234308	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6012294509769843	No data	No data
IL17RA	0.6827545553832467	0.38357363109936915	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9699838217412077	No data	No data	No data	No data	No data	No data	0.32707170133564994	No data	No data
IL23A	0.6504305889867646	0.23629117169487762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9885662023449989	No data	No data	No data	No data	No data	No data	0.9358065998190522	0.11793857473665449	No data
TNF	0.6394060971467087	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9917707382722585	No data	No data	No data	No data	No data	No data	0.9877275634384195	No data	0.47778125732627313
IL17A	0.6372709036877455	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9894231597876175	No data	No data	No data	No data	No data	No data	0.9720830017081377	0.460572153162301	No data
VDR	0.6286821624188428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9927599191502705	No data	No data	No data	No data	No data	No data	0.8274900048422729	No data	No data
PDE4A	0.6245635408552699	0.16119466350385678	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	0.3481201742199502	0.03474702295677245	No data
NR3C1	0.6093768922526535	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.994346905866608	No data	No data	No data	No data	No data	No data	0.16063620022877478	No data	No data
AHR	0.6085312772175558	0.22811504143189942	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.8419990619743224	No data	No data
PDE4D	0.6039495007674909	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	0.29120953756170304	No data	No data
DHFR	0.5994906952929696	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9821490710475367	No data	No data	No data	No data	No data	No data	0.045355568220923355	0.05919400010818598	No data
RARA	0.5988823556795987	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9814104227843666	No data	No data	No data	No data	No data	No data	0.07411154627436843	No data	No data
RARB	0.5986571772548869	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9814104227843666	No data	No data	No data	No data	No data	No data	0.0667035180712751	No data	No data
RARG	0.5973225833351921	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9814104227843666	No data	No data	No data	No data	No data	No data	0.02279740491043579	No data	No data
PDE4B	0.5970848832132972	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	0.03330521648789523	0.05057172662373052	No data
PDE4C	0.595097738445391	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	No data	No data	No data
RXRA	0.5930200654769184	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9682959326165844	No data	No data	No data	No data	No data	No data	0.14354090479940387	No data	No data
IFIH1	0.5910162338952022	0.8581742812817237	0.416565241972601	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3652239954103185	0.13961172000071936	No data
RXRB	0.5909616596779308	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9682959326165844	No data	No data	No data	No data	No data	No data	0.0758224800354494	No data	No data
ITGAL	0.5899472721545003	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9638949611970661	No data	No data	No data	No data	No data	No data	0.1304700994167746	No data	No data
RXRG	0.5886569186396886	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9682959326165844	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL17F	0.584246665996441	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.926467945345367	No data	No data	No data	No data	No data	No data	0.5281641013505213	0.3674363170370279	No data
EGFL8	0.5730203552088599	No data	0.9419670423080216	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data
PPIA	0.5684866838700917	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9268090404417277	No data	No data	No data	No data	No data	No data	0.16616775134717646	No data	No data
TNFAIP3	0.561320691405388	0.8842156291082853	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7501980784661404	0.07219716790913233	No data
IL23R	0.5520982560654399	0.8808810406768015	No data	0.015198269940290528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5117994271551397	No data	No data
RIGI	0.5492147460014879	0.87013549990055	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6656210738540514	No data	No data
ZC3H12C	0.538625188225984	0.8700279581802363	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31939153940561393	No data	No data
IL13	0.5346233425918538	0.8626675337202959	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33494538469257273	No data	No data
NFKBIA	0.5244144945203643	0.8395108926947097	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1660235894445101	0.03582874724450818	0.37947715865581405
ERAP1	0.5233932075184905	0.8316479311656472	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5858830466516793	No data	No data
KLF13	0.5185380002717264	0.8490008364729309	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.06558642222612229	No data
IL1RL2	0.5182444051841256	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8179055959421959	No data	No data	No data	No data	No data	No data	0.6913419736107308	No data	No data
ELMO1	0.5160214955639896	0.847296350096002	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data
PRR5L	0.5106157418611389	0.8391642092274731	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data
NOS2	0.5091958742634148	0.8056918023104919	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.48203546434011846	0.3507737766158057	No data
PLCL2	0.5077777324277177	0.8328240895149225	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04863446380892969	No data	No data
AP1S3	0.5077038317611042	No data	No data	0.01730914076533088	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1149930088332899	No data	No data
DENND1B	0.5050041498592636	0.8258638060031155	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06991204172533642	0.0600332353923077	No data
FAM8A1	0.5049640438376719	0.8306275086268456	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL1RAP	0.4996958175703896	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8179055959421959	No data	No data	No data	No data	No data	No data	0.0811216101546307	No data	No data
SH2B3	0.4960351086700034	0.8111325377563277	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09615101042891801	No data	No data
IFNLR1	0.4947085632905924	0.8074676646943989	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1258071432589759	No data	No data
IL2RA	0.4937259022659348	0.7850176805454632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.29332307579563827	0.12862484353782697	No data
CAMK2G	0.4881184868468579	0.7729772547299774	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5988118356474468	No data	No data
ETS1	0.4871916278083554	0.7962781439237682	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10230179699053195	No data	No data
JAZF1	0.4815500987639585	0.784902612135723	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14421469476675677	No data	No data
JAK2	0.4741087930355463	0.48350555773547005	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6538688109948484	No data	No data	No data	No data	No data	No data	0.23074936035894514	No data	No data
CDKAL1	0.4739126281186451	0.7717778366577689	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13073662859834326	0.055602878025150106	No data
POLI	0.4733893058983254	0.775918836468903	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	0.040551985701843346	No data
SOCS1	0.4705536970347286	0.7678073078010609	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12435586438616579	No data	No data
PTPN2	0.469605169478883	0.7658633129668909	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13203064497503245	No data	No data
IKBKE	0.4560570765012864	0.7458549627652705	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	0.0756783063947613	No data
EBF1	0.4473875756518209	0.7343987634269092	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data
BACH2	0.4448296691836997	0.7122950233380928	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07295169571339452	0.03191332842166463	0.34791879547313076
PTPN22	0.44331393311333767	0.6915497833151459	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.724530059705945	0.06486621610515998	No data
RUNX3	0.4411733983045611	0.692497090952062	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6639929918878944	No data	No data
TCF7L2	0.44114657971057325	0.6986073896198043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5089731733337295	0.071845996917377	No data
TAGAP	0.43898782522779517	0.7204429662599751	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.023388448741447087	0.02201625429624618	No data
RNF114	0.43464122751296547	0.7064654797120382	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16972671780466383	No data	No data
CD2	0.43316645861255315	0.33755447459400173	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6221636700110103	No data	No data	No data	No data	No data	No data	0.1790164766563286	0.1596400127730541	No data
TNIP1	0.4323438955210828	0.6758804280603071	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7058490171772245	No data	No data
TNFSF15	0.43062259764585986	0.6909534335602426	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3435104873431981	0.009563251072987984	No data
CSF2RB	0.42149235233010585	0.6886953504835622	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.0871474482435429	No data
TNRC18	0.4143805965213592	0.6794968582819932	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data
JAK1	0.412778696379337	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6548437898606441	No data	No data	No data	No data	No data	No data	0.4829164423321954	No data	No data
SPOCK1	0.41218387020500885	0.6780111680874804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCDC88B	0.40839748035616585	0.670718965402639	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data
GCA	0.40557148571488183	0.665310505307251	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data
SPATA2	0.4050821272266431	0.6215186524763074	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8708283530111096	0.057117150836011814	No data
JAK3	0.40159624346303757	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6516609397921599	No data	No data	No data	No data	No data	No data	0.16004362413755535	0.041949227215741965	No data
GCG	0.3999753069132651	0.6379473592338999	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39963298545481546	No data	No data
IRF5	0.3988416931660735	0.6393592864632734	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33410027016090216	No data	No data
IRF1	0.3962109570037992	0.644672725804568	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10860509272664433	0.07352812365451974	No data
HLA-C	0.395145847978653	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8410823532675875	No data	No data
ZNF366	0.39307586625183033	0.6465799525145103	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SGSH	0.3927513389601049	0.5625026300152173	No data	0.33417399898707434	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
FUBP1	0.3898249584273804	0.6366138313923821	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	0.08426674808029905	No data
TRIB1	0.38035628571528746	0.6256572083691004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
P3H2	0.37852565803498667	0.6226459648402436	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
REL	0.3781076978029938	0.5888538180817159	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6432387031498732	0.042421444039017146	No data
MICA	0.37665668014713305	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23281681040783075	No data	No data
CD28	0.37516314948980656	0.5943757042906763	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.291000482257177	0.08593935957329565	No data
IL4R	0.3722939374510138	0.6054075980080244	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.060715296325209195	0.11276861716460522	No data
CD40	0.3721738791834175	0.5768026919897906	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.2249342581189689	No data	No data
PRDM1	0.3704442164247972	0.5941861307329908	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23208095938155637	0.16030927522536753	No data
KCNH7	0.3676445164829878	0.6047473132260341	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TLR4	0.36421366771653446	0.5727668545554757	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5267394592946243	No data	No data
C1orf141	0.3639640171327773	0.5931373592551635	No data	0.015198269940290528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07734230702947845	No data	No data
MED15	0.36377718409314846	0.5967140354098605	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data
PRKCB	0.36309680589689347	0.5634796598648515	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.10061731811066188	0.09236275886303263	No data
CD6	0.3626265077381969	0.5889173426860856	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1515145437547238	No data	No data
IL10	0.3595219967769138	0.5638298397295036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.551130906963085	No data	No data
SMAD3	0.35948866024138254	0.5814955514963192	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17833594030046132	0.04136402235209541	No data
FKBP1A	0.35822554026022174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.589253812551664	No data	No data	No data	No data	No data	No data	No data	No data	No data
IPMK	0.35688223189422463	0.5862167109277537	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01654922726831635	No data	No data
POU2F3	0.355796248897217	0.5833580289806132	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	No data	No data
XCL2	0.35538756717345116	0.5830657353259965	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data
SLC60A2	0.35284492612017365	0.5797951800603943	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data
PPP3CA	0.3521274726579242	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5792229543910723	No data	No data	No data	No data	No data	No data	No data	No data	No data
OSTM1	0.35202537604997114	0.5766232900330551	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04863446380892969	No data	No data
UBASH3A	0.35142465705258846	0.5780668760872639	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NFATC2	0.3513793803694078	0.5761686069885958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data
IL6R	0.3503271268845569	0.562459920445249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.27603203708946084	No data	No data
RAD51B	0.34933717443796125	0.574633125695232	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
GSTCD	0.34893424139579665	0.572146539043992	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data
IFNGR2	0.3470003848143505	0.5614362313562293	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	No data	No data	No data	0.07892630449658873	No data	No data
MFN2	0.3459279186419975	0.5690251587862388	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNFRSF1A	0.3457165341042763	0.559933146612269	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17488601321004135	No data	No data
MUC19	0.3445533903002187	0.5667641640362131	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
FASLG	0.3437949651381447	0.558300258257699	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14432707952954993	No data	No data
GPR35	0.3426057630069429	0.5635604650281559	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ATG16L1	0.3382542992367187	0.5480080961526622	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1678908278723206	No data	No data
PRKRA	0.3381302379746943	0.5537668430001582	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04863446380892969	No data	No data
KEAP1	0.33811233358890674	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5492485886754993	No data	No data	No data	No data	No data	No data	0.13841052320040842	No data	No data
IRF4	0.33797714873593704	0.5321146818328317	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47664128369115993	No data	No data
OSMR	0.3374077201525173	0.552221906254576	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	0.046306758335154304	No data
PARK7	0.33654334253299806	0.5523723820916842	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data
BANK1	0.3355911378866663	0.5457906486720249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12462581351038234	No data	No data
EXOC2	0.3340141799027138	0.5494279632072532	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AGK	0.3335034700451412	0.5485878842713298	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LACC1	0.33249295410024376	0.5469256622735836	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HHEX	0.3311619478392486	0.5420005694524281	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data
NKX2-3	0.3308703713939472	0.5442566369294635	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL7R	0.3305080636907291	0.5214447414428818	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3722337260397596	0.16219082357764694	No data
UBE2E3	0.33027643943162616	0.5419118196559154	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02735688589252295	No data	No data
NOD2	0.32981060875712115	0.5274754201107759	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23614839484109415	0.14537556045531835	No data
INAVA	0.32932545373657124	0.5385237280060087	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data
SLC30A8	0.32879937846708734	0.5408500108216957	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
STAP2	0.32823707007893443	0.5380252724784679	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	No data	No data
NCF4	0.32796385757499846	0.5388677116002908	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data
SKAP2	0.3269788626001695	0.5378554004580324	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
FUT2	0.32612626276822815	0.52465343239423	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07330621862240988	0.20340958000621548	No data
BEND3	0.32542608326080413	0.5353011963521279	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RNF145	0.3240587000340965	0.5330519547738436	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
STXBP4	0.323912030333767	0.5328106942538868	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LEKR1	0.32357754304102504	0.5313485918595665	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data
