symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
DENR	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data
ACKR3	0.004977152802170087	No data	No data	No data	No data	No data	No data	No data	No data	No data
F3	0.006572157465690723	No data	No data	No data	No data	No data	No data	No data	No data	No data
FGFR1	0.008846314127010382	No data	No data	No data	No data	No data	No data	No data	No data	No data
TCHH	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
BLMH	0.01022216424523704	No data	No data	No data	No data	No data	No data	No data	No data	No data
PER2	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
STARD7	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
GPX2	0.0029790375910552086	No data	No data	No data	No data	No data	No data	No data	No data	No data
PECAM1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
SPAG5	0.003234985518741134	No data	No data	No data	No data	No data	No data	No data	No data	No data
GCG	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
CRHR1	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLEC4C	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
TJP1	0.025365086715577047	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTGDS	0.009339350204638526	No data	No data	No data	No data	No data	No data	No data	No data	No data
CYDAER	0.0013128401262310428	No data	No data	No data	No data	No data	No data	No data	No data	No data
PRH2	0.012207210029492342	No data	No data	No data	No data	No data	No data	No data	No data	No data
NOB1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
KIF15	0.006182760354513734	No data	No data	No data	No data	No data	No data	No data	No data	No data
PLPP3	0.0047537974867598925	No data	No data	No data	No data	No data	No data	No data	No data	No data
RIPK1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
SOX9	0.005174117965585825	No data	No data	No data	No data	No data	No data	No data	No data	No data
SPTLC3	0.002389964161590073	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNNI2	0.0014422362349446791	No data	No data	No data	No data	No data	No data	No data	No data	No data
NIN	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
NEFH	0.0029566388374776143	No data	No data	No data	No data	No data	No data	No data	No data	No data
KIF2C	0.004434631513006999	No data	No data	No data	No data	No data	No data	No data	No data	No data
SDHB	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
SIRT1	0.009003375904402318	No data	No data	No data	No data	No data	No data	No data	No data	No data
DEFB103A	0.010205319149950208	No data	No data	No data	No data	No data	No data	No data	No data	No data
MAP2K4	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
TPSD1	0.009239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data
ANK2	0.0028840186232453784	No data	No data	No data	No data	No data	No data	No data	No data	No data
EMX2	0.005159631635329495	No data	No data	No data	No data	No data	No data	No data	No data	No data
FAP	0.009403754080310744	No data	No data	No data	No data	No data	No data	No data	No data	No data
DBI	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
MIB1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
BCL3	0.01736471215363072	No data	No data	No data	No data	No data	No data	No data	No data	No data
GFUS	0.003240944281334204	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCL8	0.009065752165729423	No data	No data	No data	No data	No data	No data	No data	No data	No data
SEMA3A	0.010624927880501968	No data	No data	No data	No data	No data	No data	No data	No data	No data
PPBP	0.0098349305774429	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD40LG	0.020067571355591625	No data	No data	No data	No data	No data	No data	No data	No data	No data
FAM171B	0.0029512061519143336	No data	No data	No data	No data	No data	No data	No data	No data	No data
C11orf96	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
TXN	0.016043461491862906	No data	No data	No data	No data	No data	No data	No data	No data	No data
IRS2	0.0034665075557667032	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLDN8	0.009269922488393865	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC27A4	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data
RXRB	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
TRPC6	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
MT1B	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
NUP214	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
CHP2	0.004121128777412714	No data	No data	No data	No data	No data	No data	No data	No data	No data
ANKRD9	0.003709654190926691	No data	No data	No data	No data	No data	No data	No data	No data	No data
CYDAER	0.0013128401262310428	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTGDS	0.009339350204638526	No data	No data	No data	No data	No data	No data	No data	No data	No data
FAS	0.012776540503669265	No data	No data	No data	No data	No data	No data	No data	No data	No data
TJP1	0.025365086715577047	No data	No data	No data	No data	No data	No data	No data	No data	No data
SPINK5	0.023033152467155843	No data	No data	No data	No data	No data	No data	No data	No data	No data
CXCL11	0.0051535857514366755	No data	No data	No data	No data	No data	No data	No data	No data	No data
GUSB	0.0035110086195046675	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLEC4C	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLDN5	0.008561933300195591	No data	No data	No data	No data	No data	No data	No data	No data	No data
ACKR3	0.004977152802170087	No data	No data	No data	No data	No data	No data	No data	No data	No data
CRHR1	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
F3	0.006572157465690723	No data	No data	No data	No data	No data	No data	No data	No data	No data
TCHH	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
BLMH	0.01022216424523704	No data	No data	No data	No data	No data	No data	No data	No data	No data
PER2	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
GCG	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
GSTM1	0.024546882205649403	No data	No data	No data	No data	No data	No data	No data	No data	No data
GPX2	0.0029790375910552086	No data	No data	No data	No data	No data	No data	No data	No data	No data
MKI67	0.008466943248289721	No data	No data	No data	No data	No data	No data	No data	No data	No data
BRAP	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
MICALL2	0.0026814590178121946	No data	No data	No data	No data	No data	No data	No data	No data	No data
PRF1	0.01565289710905976	No data	No data	No data	No data	No data	No data	No data	No data	No data
SFTPA1	0.004819937271512986	No data	No data	No data	No data	No data	No data	No data	No data	No data
BICC1	0.0018828812581899693	No data	No data	No data	No data	No data	No data	No data	No data	No data
C4A	0.009143405604899523	No data	No data	No data	No data	No data	No data	No data	No data	No data
EGR1	0.023252732523912484	No data	No data	No data	No data	No data	No data	No data	No data	No data
LYST	0.007048160427734869	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE7A	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
SHBG	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data
CORT	0.007761176948378739	No data	No data	No data	No data	No data	No data	No data	No data	No data
MTOR	0.012043991875015921	No data	No data	No data	No data	No data	No data	No data	No data	No data
FABP7	0.0059578329585266415	No data	No data	No data	No data	No data	No data	No data	No data	No data
FAM83D	0.002508905157905642	No data	No data	No data	No data	No data	No data	No data	No data	No data
BRAF	0.005358907892928176	No data	No data	No data	No data	No data	No data	No data	No data	No data
DENND2D	0.002474895352272166	No data	No data	No data	No data	No data	No data	No data	No data	No data
MDH2	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
RGS22	0.007361140280909047	No data	No data	No data	No data	No data	No data	No data	No data	No data
RPTN	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNXB	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data
NECTIN1	0.04988382299318277	No data	No data	No data	No data	No data	No data	No data	No data	No data
PSTPIP2	0.03155472799297984	No data	No data	No data	No data	No data	No data	No data	No data	No data
DDIT4	0.009609076221802246	No data	No data	No data	No data	No data	No data	No data	No data	No data
GLA	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
PER1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
SCCPDH	0.004957624947407614	No data	No data	No data	No data	No data	No data	No data	No data	No data
MVP	0.0035719618150553065	No data	No data	No data	No data	No data	No data	No data	No data	No data
VSX1	0.011540806729949693	No data	No data	No data	No data	No data	No data	No data	No data	No data
UBA1	0.00794596687572109	No data	No data	No data	No data	No data	No data	No data	No data	No data
NOS2	0.030473431190485914	No data	No data	No data	No data	No data	No data	No data	No data	No data
CMPK1	0.028067536741888187	No data	No data	No data	No data	No data	No data	No data	No data	No data
CYGB	0.008202619552585465	No data	No data	No data	No data	No data	No data	No data	No data	No data
PLAUR	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
GREB1L	0.0021889664890818606	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTPN1	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADIPOQ	0.02566222642584438	No data	No data	No data	No data	No data	No data	No data	No data	No data
DEFB1	0.010443300082682213	No data	No data	No data	No data	No data	No data	No data	No data	No data
MYOZ1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
IGFBP3	0.004134324780422762	No data	No data	No data	No data	No data	No data	No data	No data	No data
LCE3D	0.008815306988538805	No data	No data	No data	No data	No data	No data	No data	No data	No data
FAT1	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
LGALS13	0.004989328038243475	No data	No data	No data	No data	No data	No data	No data	No data	No data
VPS51	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data
S100A9	0.021632425560647806	No data	No data	No data	No data	No data	No data	No data	No data	No data
RGS1	0.010661642303863295	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNFSF13	0.013220282046354765	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLEC4A	0.00794596687572109	No data	No data	No data	No data	No data	No data	No data	No data	No data
RNF213	0.0028958233269882347	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000279284	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTGIR	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000280371	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
KCNK6	0.0030841780649304876	No data	No data	No data	No data	No data	No data	No data	No data	No data
AURKA	0.004342834017735948	No data	No data	No data	No data	No data	No data	No data	No data	No data
S100A4	0.004968795824094324	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC18A2	0.005115156013283105	No data	No data	No data	No data	No data	No data	No data	No data	No data
MMGT1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
GCKR	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
ALPP	0.007925434661571938	No data	No data	No data	No data	No data	No data	No data	No data	No data
PPP1R1A	0.0029082804960578446	No data	No data	No data	No data	No data	No data	No data	No data	No data
TMEM100	0.0019716331838517866	No data	No data	No data	No data	No data	No data	No data	No data	No data
NUP62	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
PECAM1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
STARD7	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
FGFR1	0.008846314127010382	No data	No data	No data	No data	No data	No data	No data	No data	No data
DENR	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data
COL6A3	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data
ARG1	0.008901677509780395	No data	No data	No data	No data	No data	No data	No data	No data	No data
CSTA	0.011426177174002032	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZNF185	0.009984597847846846	No data	No data	No data	No data	No data	No data	No data	No data	No data
TRIP13	0.003482711151224936	No data	No data	No data	No data	No data	No data	No data	No data	No data
LAMA2	0.002201117862667192	No data	No data	No data	No data	No data	No data	No data	No data	No data
PRDX1	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
WDR36	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
CXCR1	0.003326218692162316	No data	No data	No data	No data	No data	No data	No data	No data	No data
ATP6AP2	0.0032159607021813807	No data	No data	No data	No data	No data	No data	No data	No data	No data
STH	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
RTL1	0.0035110086195046675	No data	No data	No data	No data	No data	No data	No data	No data	No data
ITGA5	0.00201215698661671	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADORA3	0.048250703250502736	No data	No data	No data	No data	No data	No data	No data	No data	No data
FABP4	0.004453259919241867	No data	No data	No data	No data	No data	No data	No data	No data	No data
GRHL2	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
TP63	0.002902844436406841	No data	No data	No data	No data	No data	No data	No data	No data	No data
AOX1	0.005295692875775597	No data	No data	No data	No data	No data	No data	No data	No data	No data
CSRP3	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCL2	0.014007245719603437	No data	No data	No data	No data	No data	No data	No data	No data	No data
CXCL6	0.00201215698661671	No data	No data	No data	No data	No data	No data	No data	No data	No data
DBX1	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
SPINK9	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
CRP	0.033558911415781455	No data	No data	No data	No data	No data	No data	No data	No data	No data
NOVA1	0.002677769290066962	No data	No data	No data	No data	No data	No data	No data	No data	No data
COL6A6	0.017557026322433555	No data	No data	No data	No data	No data	No data	No data	No data	No data
LPP	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data
PSMA8	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data
XAF1	0.003938312838348339	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL7	0.012182173298973736	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNFRSF10C	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
CUX1	0.0044144260420672715	No data	No data	No data	No data	No data	No data	No data	No data	No data
SRR	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
NUF2	0.008412227372130198	No data	No data	No data	No data	No data	No data	No data	No data	No data
ISLR	0.0014543877047617187	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL12RB1	0.009403754080310744	No data	No data	No data	No data	No data	No data	No data	No data	No data
PRH2	0.012207210029492342	No data	No data	No data	No data	No data	No data	No data	No data	No data
DMBX1	0.004989328038243475	No data	No data	No data	No data	No data	No data	No data	No data	No data
DPYSL3	0.002143037070601238	No data	No data	No data	No data	No data	No data	No data	No data	No data
CDH5	0.008869916512432843	No data	No data	No data	No data	No data	No data	No data	No data	No data
PCP4	0.0027197480681762187	No data	No data	No data	No data	No data	No data	No data	No data	No data
CYLD	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data
FIS1	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
KLHL17	0.0034299489029579605	No data	No data	No data	No data	No data	No data	No data	No data	No data
CFH	0.004901782081443181	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000274213	0.0019805747133460907	No data	No data	No data	No data	No data	No data	No data	No data	No data
RASA1	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
PROS1	0.010485093647763396	No data	No data	No data	No data	No data	No data	No data	No data	No data
NPR1	0.009609076221802246	No data	No data	No data	No data	No data	No data	No data	No data	No data
LGR6	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data
PARP10	0.0033363299546282322	No data	No data	No data	No data	No data	No data	No data	No data	No data
TRPV6	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
PI3	0.006639287939243079	No data	No data	No data	No data	No data	No data	No data	No data	No data
MSRA	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
LECT2	0.00985546279159205	No data	No data	No data	No data	No data	No data	No data	No data	No data
CNTN3	0.0018862045079068987	No data	No data	No data	No data	No data	No data	No data	No data	No data
OSR2	0.009386039703024249	No data	No data	No data	No data	No data	No data	No data	No data	No data
EPSTI1	0.0031111385663333702	No data	No data	No data	No data	No data	No data	No data	No data	No data
BCHE	0.005099071094198095	No data	No data	No data	No data	No data	No data	No data	No data	No data
TLCD3B	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data
SPG21	0.00794596687572109	No data	No data	No data	No data	No data	No data	No data	No data	No data
HSPA5	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCR6	0.004723846509294965	No data	No data	No data	No data	No data	No data	No data	No data	No data
IGF1	0.010936949721351178	No data	No data	No data	No data	No data	No data	No data	No data	No data
NAT9	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL10RB	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
ACSBG1	0.004101167498234066	No data	No data	No data	No data	No data	No data	No data	No data	No data
UBAC2	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
FLAD1	0.027412546539786944	No data	No data	No data	No data	No data	No data	No data	No data	No data
PGP	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
KLRG1	0.008479804443598991	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD8A	0.030096720613118726	No data	No data	No data	No data	No data	No data	No data	No data	No data
MUSK	0.027412546539786944	No data	No data	No data	No data	No data	No data	No data	No data	No data
APOBEC3A	0.0036499276464032606	No data	No data	No data	No data	No data	No data	No data	No data	No data
GSN	0.010348235931171651	No data	No data	No data	No data	No data	No data	No data	No data	No data
TUBGCP6	0.0026195974507293683	No data	No data	No data	No data	No data	No data	No data	No data	No data
TMEM132C	0.0030062729788039697	No data	No data	No data	No data	No data	No data	No data	No data	No data
KPNA2	0.012565715059279862	No data	No data	No data	No data	No data	No data	No data	No data	No data
MMP10	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
PHB2	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL1RN	0.038009850799331134	No data	No data	No data	No data	No data	No data	No data	No data	No data
UTRN	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data
MYOC	0.002132106562703724	No data	No data	No data	No data	No data	No data	No data	No data	No data
ITM2A	0.001426453600993893	No data	No data	No data	No data	No data	No data	No data	No data	No data
TP53INP1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTX3	0.008869916512432843	No data	No data	No data	No data	No data	No data	No data	No data	No data
TCEAL1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
E2F3	0.004011309555131223	No data	No data	No data	No data	No data	No data	No data	No data	No data
BRCA2	0.027412546539786944	No data	No data	No data	No data	No data	No data	No data	No data	No data
BMP2	0.004684116743171851	No data	No data	No data	No data	No data	No data	No data	No data	No data
CALML3	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
RAI2	0.003807461272576985	No data	No data	No data	No data	No data	No data	No data	No data	No data
SVEP1	0.006570838214094948	No data	No data	No data	No data	No data	No data	No data	No data	No data
IGHG3	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data
SOCS5	0.002751316695986113	No data	No data	No data	No data	No data	No data	No data	No data	No data
GNA11	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000236543	0.01004586369351078	No data	No data	No data	No data	No data	No data	No data	No data	No data
MDM2	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data
NCR3	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL17RB	0.00201215698661671	No data	No data	No data	No data	No data	No data	No data	No data	No data
COL4A4	0.004987452408400003	No data	No data	No data	No data	No data	No data	No data	No data	No data
CAMK2A	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
GTF3A	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data
TPT1	0.01097446846272073	No data	No data	No data	No data	No data	No data	No data	No data	No data
TAC1	0.016404086871603187	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADAM10	0.011826555349910457	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDGFD	0.004674159151480044	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZFP36	0.006652437384324632	No data	No data	No data	No data	No data	No data	No data	No data	No data
TREX1	0.036736237555659364	No data	No data	No data	No data	No data	No data	No data	No data	No data
MAMDC2	0.004922579366622152	No data	No data	No data	No data	No data	No data	No data	No data	No data
KANK4	0.002871104940299463	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCNL2	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
COL6A5	0.010639816564644617	No data	No data	No data	No data	No data	No data	No data	No data	No data
APRT	0.01322379325997801	No data	No data	No data	No data	No data	No data	No data	No data	No data
GJB2	0.005222587370380861	No data	No data	No data	No data	No data	No data	No data	No data	No data
ISYNA1	0.0196768100408302	No data	No data	No data	No data	No data	No data	No data	No data	No data
EPO	0.009663093590218497	No data	No data	No data	No data	No data	No data	No data	No data	No data
HIF1A	0.01593637342433173	No data	No data	No data	No data	No data	No data	No data	No data	No data
TMC5	0.0028803164522369544	No data	No data	No data	No data	No data	No data	No data	No data	No data
CHI3L1	0.04766763050393628	No data	No data	No data	No data	No data	No data	No data	No data	No data
PF4	0.022110102235768928	No data	No data	No data	No data	No data	No data	No data	No data	No data
MT1E	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
KEAP1	0.007925434661571938	No data	No data	No data	No data	No data	No data	No data	No data	No data
KRTAP19-1	0.0026706284358466695	No data	No data	No data	No data	No data	No data	No data	No data	No data
GJB6	0.00304118634258315	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC7A1	0.0035441832403384894	No data	No data	No data	No data	No data	No data	No data	No data	No data
LGR5	0.008845958074550962	No data	No data	No data	No data	No data	No data	No data	No data	No data
TSPO	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
WASL	0.007761176948378739	No data	No data	No data	No data	No data	No data	No data	No data	No data
HS3ST2	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
UCN	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
CEBPB	0.007925434661571938	No data	No data	No data	No data	No data	No data	No data	No data	No data
IFNL1	0.008007563518168538	No data	No data	No data	No data	No data	No data	No data	No data	No data
CALM2	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
RBP1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCL3L3	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
CEACAM5	0.0044349582562164215	No data	No data	No data	No data	No data	No data	No data	No data	No data
NPSR1	0.01404403447801867	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLEC2A	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNFRSF25	0.0029361066233284643	No data	No data	No data	No data	No data	No data	No data	No data	No data
MBTPS1	0.006044273201226807	No data	No data	No data	No data	No data	No data	No data	No data	No data
SMC4	0.0036324165323559764	No data	No data	No data	No data	No data	No data	No data	No data	No data
KNG1	0.010127719951209778	No data	No data	No data	No data	No data	No data	No data	No data	No data
TSPAN8	0.005454685169284733	No data	No data	No data	No data	No data	No data	No data	No data	No data
ELOVL5	0.021455494386313508	No data	No data	No data	No data	No data	No data	No data	No data	No data
LPCAT2	0.0044349582562164215	No data	No data	No data	No data	No data	No data	No data	No data	No data
HPS4	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
NOD1	0.01214651452311033	No data	No data	No data	No data	No data	No data	No data	No data	No data
GSTK1	0.008332986541689213	No data	No data	No data	No data	No data	No data	No data	No data	No data
NAP1L3	0.005073454562925767	No data	No data	No data	No data	No data	No data	No data	No data	No data
TRIM32	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
KRTAP4-7	0.003446756896330364	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCNA2	0.007251349301498247	No data	No data	No data	No data	No data	No data	No data	No data	No data
SBSN	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
NAAA	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
HCLS1	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data
FOSB	0.01529871641498692	No data	No data	No data	No data	No data	No data	No data	No data	No data
RBM8A	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data
CLSTN2	0.002404717165238174	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC17A8	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
GNLY	0.002617536227428552	No data	No data	No data	No data	No data	No data	No data	No data	No data
SCUBE3	0.002312444607018697	No data	No data	No data	No data	No data	No data	No data	No data	No data
PLIN4	0.0031774061326866263	No data	No data	No data	No data	No data	No data	No data	No data	No data
NFKBIZ	0.05426961916725534	No data	No data	No data	No data	No data	No data	No data	No data	No data
KCTD6	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADAM17	0.03357807503630784	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCNE2	0.0027520143587649783	No data	No data	No data	No data	No data	No data	No data	No data	No data
GLDN	0.0034496859292090453	No data	No data	No data	No data	No data	No data	No data	No data	No data
ARMH1	0.002843711659657289	No data	No data	No data	No data	No data	No data	No data	No data	No data
IRF1	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
FABP5	0.002843711659657289	No data	No data	No data	No data	No data	No data	No data	No data	No data
TLR3	0.010158910060601451	No data	No data	No data	No data	No data	No data	No data	No data	No data
DCN	0.00641314534470389	No data	No data	No data	No data	No data	No data	No data	No data	No data
HLA-DRB5	0.14252520901599258	No data	0.23444314645010855	No data	No data	No data	No data	No data	No data	No data
DNASE1	0.026794539464640877	No data	No data	No data	No data	No data	No data	No data	No data	No data
CORIN	0.008736710349100188	No data	No data	No data	No data	No data	No data	No data	No data	No data
MLANA	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD1B	0.010160702537845326	No data	No data	No data	No data	No data	No data	No data	No data	No data
PPARA	0.021690351137378123	No data	No data	No data	No data	No data	No data	No data	No data	No data
MYD88	0.009403754080310744	No data	No data	No data	No data	No data	No data	No data	No data	No data
PIK3CD	0.016016900902310074	No data	No data	No data	No data	No data	No data	No data	No data	No data
ELMOD1	0.011516613852374912	No data	No data	No data	No data	No data	No data	No data	No data	No data
LCE3D	0.008815306988538805	No data	No data	No data	No data	No data	No data	No data	No data	No data
REEP5	0.002751316695986113	No data	No data	No data	No data	No data	No data	No data	No data	No data
ANGPTL4	0.004359004726758685	No data	No data	No data	No data	No data	No data	No data	No data	No data
PIK3CD	0.016016900902310074	No data	No data	No data	No data	No data	No data	No data	No data	No data
MYOZ1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data
DEFB1	0.010443300082682213	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADIPOQ	0.02566222642584438	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTPN1	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data
