cell_id,group
adggkmpi-1,KC3
adgklhpm-1,KC3
adgldnoh-1,KC3
adhbdikp-1,KC5
adhcbecg-1,KC3
adhhdkbm-1,KC3
adhiingp-1,KC3
adhilfgp-1,KC3
adhkfagd-1,KC5
adhmldfo-1,KC3
adiejedb-1,KC3
adigmjof-1,KC3
adigmkpj-1,KC3
adiknnmm-1,KC3
adilbooi-1,KC1
adiloach-1,KC1-2_cycling
adimijhp-1,KC1
adiogcja-1,KC3
adjglmcp-1,KC1
adjhkihd-1,KC5
adjhlfdj-1,KC3
adjipapm-1,KC3
adjoknlb-1,KC
adjpoabp-1,KC3
adkeincg-1,KC3
adkkdjjm-1,KC1
adkkomon-1,KC3
adlbbnki-1,KC3
adldgdlj-1,KC1
adlehpnl-1,KC3
adlkjmnn-1,KC3
adlmjndl-1,KC1
admehojk-1,KC1-2_cycling
admjbjme-1,KC3
admmmlbf-1,KC3
admpaihe-1,KC1
adnapmln-1,KC1
adndkpkm-1,KC1
adngfgdd-1,KC1
adnhdmfn-1,KC3
adobafdf-1,KC1
adogmdlb-1,KC1
adoiandg-1,KC1
adoichoj-1,F2: Universal
adojnaba-1,KC1
adolbdeg-1,cDC2
adonlhfc-1,KC1
adooifhc-1,KC1
adopnfap-1,KC1
adpbekmk-1,KC3
adpcplho-1,KC3
adpfdepb-1,cDC2: MMP12hi
adpgckpp-1,KC1
aeafabfp-1,KC3
aeagpmgf-1,KC3
aeaknjgh-1,KC3
aeamnmed-1,KC3
aeamoipj-1,KC3
aebaiace-1,KC3
aebdaepn-1,KC1
aeboffic-1,KC1
aeccifha-1,Melanocyte
aecghgpp-1,KC1
aecodlhn-1,KC1
aedcfipm-1,Pericyte1
aedehmck-1,KC1
aedjhcon-1,KC1
aeebneee-1,KC1
aeeeihog-1,KC1
aeeiookp-1,KC1
aeejkdpa-1,KC1
aeejkgae-1,Melanocyte
aeeoidjg-1,KC1
aefckjah-1,KC1
aefiklhj-1,Melanocyte
aefjcgip-1,KC3
aefjeglk-1,Melanocyte
aefkhgdd-1,KC1
aeflcjld-1,KC3
aefldnfc-1,F1: Superficial
aegfbkgh-1,Mac2
aeggnmhc-1,F1: Superficial
aegopiok-1,F1: Superficial
aehcbmmd-1,F1: Superficial
aehcebjb-1,KC1
aeheaola-1,F1: Superficial
aehljfoi-1,KC1
aehmmnhm-1,KC1
aeifmoop-1,KC1
aeifnokg-1,KC3
aeiminia-1,KC1-2_cycling
aeiollel-1,KC1
aejbcfna-1,KC3
aejebfnm-1,KC1
aejgbpkm-1,KC3
aejilpid-1,KC1
aejodcjk-1,KC1
aekaflpp-1,KC1
aekbfiob-1,Mac2
aekbgoeg-1,F1: Superficial
aekeajjo-1,KC1
aekjkjcc-1,F1: Superficial
aekkpoda-1,F1: Superficial
aekoomhi-1,KC1
aelkjflp-1,Melanocyte
aelndhca-1,KC1
aelnplcd-1,KC1
aembnkka-1,Melanocyte
aemgidjc-1,KC1
aemiangl-1,KC3
aemigghf-1,KC1-2_cycling
aemjelgj-1,KC1
aemjgcpg-1,KC1
aemjihbi-1,KC1
aemncclk-1,KC1
aemnhihg-1,KC1
aemoenaj-1,KC1
aenbdone-1,KC2/3_cycling
aenincho-1,F1: Superficial
aenkcfcj-1,KC3
aenmpoep-1,KC1
aenolmab-1,KC1
aenpbacb-1,KC1
aeojlnio-1,KC1
aeojnoaj-1,KC3
aepgeamc-1,KC3
afacimmp-1,KC1
afagcien-1,KC3
afaodnfn-1,F1: Superficial
afapldjl-1,KC1-2_cycling
afbaienb-1,KC1
afbdoifl-1,Melanocyte
afbgmaci-1,KC3
afbmjjpl-1,KC1
