gene_names
C1orf112
KDM1A
ARHGAP33
CDC27
AC004381.6
DBF4
PRSS21
E2F2
BAZ1B
NCAPD2
ANLN
BRCA1
UBR7
DDX11
TACC3
POLA2
DEPDC1
NCAPH2
HMGB3
CENPQ
DEPDC1B
SPDL1
TDP1
DSG2
NOP16
RFC2
RAD51
POLQ
THOC3
MRTO4
C4orf27
POLD1
TM7SF3
MCM10
MTHFD2
YBX1
ASPM
PRR11
NUCKS1
EXOC5
TCOF1
RAD18
TRIP13
DAZAP1
HLTF
PDCD2
SMC1A
HMMR
MCM2
NUP37
GTSE1
WDR62
MCM6
MLH1
UNG
SPAG5
UBE2T
EXOSC5
FAM76B
POLD3
KIF22
PUM3
RBL1
NDC80
HSPB11
OXCT1
SEH1L
ORC1
RAD54L
NOP14
GMCL1
AURKA
TPX2
BIRC5
KIF4A
FH
ORC6
G2E3
WDR76
PHGDH
CLSPN
NUP50
CDC45
CDC6
CBX5
MSH2
FKBP5
ACOT7
CDC7
RANBP1
CENPM
HMGXB4
MCM5
RANGAP1
POLE2
CDKN3
ERH
MTHFD1
VRK1
EMC9
GINS1
MYBL2
CDC25B
PLCB4
FAM83D
CEP76
RBBP8
POLA1
NUP93
CTCF
CCP110
CEP152
OIP5
MYEF2
MCM4
KCTD9
RNASEH2A
SGTA
ASF1B
LIG1
H2AFV
GARS
NUDT1
RPA3
EZH2
RHEB
SMC3
UBE2S
RAD51C
GALK1
C1QBP
BLMH
TMEM97
GAR1
NEIL3
WHSC1
NCAPG
CCDC34
CCDC86
MAGOHB
FOXM1
GPN3
RAD51AP1
RFC5
NUP107
TIMELESS
GAPDH
CDCA3
ENO2
FBXO5
MCM3
BAG2
GMNN
TTK
HMGCS1
BRD8
KIF20A
LMNB1
NUP155
H2AFY
SMC4
ECT2
CENPA

